canonical_candidate,gpu_model,vram_gb,price_aud_observed,best_url,source_types,chatgpt_evidence_count,gemini_evidence_count,total_raw_evidence,total_weighted_evidence,priority_bucket,sample_excerpt,conversation_refs
UNKNOWN,rtx 4070,32,3514.05,UNKNOWN,ChatGPT-Export,1,0,1,1.0,P3,"The listing shows **Ryzen AI 9 HX 370, RTX 4070, 32GB, 2TB, 16-inch 4K OLED touch** at **AU$3,514.05**, again from **treasure_pc_online**, with certified-refurb status and a 12-month Asus Australia pickup/return warranty.",ChatGPT-Export:69e473a6-f9dc-839b-89ea-2b8ce865aba0
UNKNOWN,rtx 5060,8,2508.56,UNKNOWN,ChatGPT-Export,1,0,1,1.0,P3,"**Better than the old ZBook on modern speed; weaker than it on capacity; and probably worse value than the Crosshair.** The PB Tech Katana 17 HX you linked is **A$2,508.56**, with an **i7-14650HX**, **RTX 5060 Laptop GPU 8GB**, **16GB DDR5-5600 (2x8GB)**, **1T",ChatGPT-Export:69e65d3d-6e64-839a-95ae-c7e77c8a09a9
UNKNOWN,rtx 5060,16,UNKNOWN,UNKNOWN,ChatGPT-Export,1,0,1,1.0,P3,"Same broad class of “new gaming laptop,” but this config is only **16GB / RTX 5060 8GB** at about **A$2.5k**, which is a risky amount to spend if the goal is longevity for dev + AI-adjacent work.",ChatGPT-Export:69e65d3d-6e64-839a-95ae-c7e77c8a09a9
alienware 18,rtx 5090,64,7198.4,UNKNOWN,ChatGPT-Export,1,0,1,1.0,P3,"Dell Australia shows an **Alienware 18 Area-51 with RTX 5090** at **AU$7,198.40** for one official config, and Amazon shows a same-spec **64GB / 2TB / RTX 5090** model at **US$4,020**.",ChatGPT-Export:69e7cebf-090c-83a1-8137-e5f10ec37f1c
msi raider 18,rtx 5090,24,UNKNOWN,https://www.jbhifi.com.au/products/msi-raider-18-hx-ai-18-uhd-120hz-gaming-laptop,ChatGPT-Export,1,0,1,1.0,P3,"|Retailer|JB Hi‑Fi|[MSI Raider 18 HX AI 18″ UHD+ MiniLED 120 Hz](https://www.jbhifi.com.au/products/msi-raider-18-hx-ai-18-uhd-120hz-gaming-laptop)|MSI Raider 18 HX AI|RTX 5090 Laptop GPU 24 GB|Intel Ultra 9 285HX|128 GB DDR5|10 TB SSD (2 TB + 8 TB)|$11,999 (d",ChatGPT-Export:69efa03a-cd58-83a0-b9e1-861507d02eb8
alienware m18,rtx 3090,24,2800,UNKNOWN,ChatGPT-Export,1,0,1,1.0,P3,"| Product type | Worth considering if… | Strong value if… |
|---|---:|---:|
| **Alienware Aurora RTX 3090 24GB** | ≤ **A$2,800** | ≤ **A$2,200** |
| **Alienware Aurora RTX 4090 24GB** | ≤ **A$3,800** | ≤ **A$3,200** |
| **RTX 4090 laptop 16GB** | ≤ **A$4,000**",ChatGPT-Export:69f199b8-63a0-839c-9743-426bcea1420e
msi vector 16,rtx 5090,16,UNKNOWN,https://www.centrecom.com.au/msi-vector-16-hx-ai-a2xw-16-core-ultra-9-16gb-1tb-rtx-5090-gaming-laptop-msi-mag-255xf-25-monitor-bundle,ChatGPT-Export,1,0,1,1.0,P3,"```markdown
<!-- PRODUCT CARD START: MSI Vector 16 HX AI RTX 5090 Bundle -->
### 88 / 110 — MSI Vector 16 HX AI RTX 5090 Bundle
- **Category**: Laptop
- **Condition**: New
- **Price (AUD)**: Verify live Centre Com price
- **Vendor**: Centre Com
- **URL**: http",ChatGPT-Export:69f199b8-63a0-839c-9743-426bcea1420e
UNKNOWN,rtx 5070,24,UNKNOWN,https://www.centrecom.com.au/lenovo-loq-173-fhd-i7-24gb-ram-1tb-rtx-5070-gaming-laptop-luna-grey,ChatGPT-Export,1,0,1,1.0,P3,"```markdown
<!-- PRODUCT CARD START: Lenovo LOQ 17IRX10 RTX 5070 -->
### Rejected Benchmark — Lenovo LOQ 17IRX10 RTX 5070
- **Category**: Laptop
- **Condition**: New
- **Price (AUD)**: $2,099–$2,499 observed
- **Vendor**: Centre Com
- **URL**: https://www.cent",ChatGPT-Export:69f199b8-63a0-839c-9743-426bcea1420e
acer predator helios,rtx 4090,16,4449,UNKNOWN,ChatGPT-Export,1,0,1,1.0,P3,"|
| **6** | **Acer Predator Helios 18 RTX 4090 refurbished** | 18-inch laptop | Refurb 18-inch RTX 4090 16GB laptop with 32GB RAM and 4TB SSD around A$4,449; strong mobile workstation candidate.",ChatGPT-Export:69f199b8-63a0-839c-9743-426bcea1420e
lenovo legion pro 7i,rtx 5080,16,4498,UNKNOWN,ChatGPT-Export,1,0,1,1.0,P3,"|
| **7** | **Lenovo Legion Pro 7i RTX 5080 16GB** | High-end laptop | Listed around A$4,498 with upgradeable RAM/SSD; likely a current-gen premium 16GB VRAM laptop benchmark.",ChatGPT-Export:69f199b8-63a0-839c-9743-426bcea1420e
UNKNOWN,rtx 5080,16,4899,UNKNOWN,ChatGPT-Export,1,0,1,1.0,P3,"|
| **8** | **ASUS Zephyrus G16 RTX 5080 16GB** | Creator/gaming laptop | Strong portable 16GB VRAM option at ~A$4,899; relevant for “thin but powerful” category.",ChatGPT-Export:69f199b8-63a0-839c-9743-426bcea1420e
msi stealth a16,rtx 5080,16,4999,UNKNOWN,ChatGPT-Export,1,0,1,1.0,P3,"|
| **9** | **MSI Stealth A16 RTX 5080 16GB** | Creator/gaming laptop | Another 16GB VRAM RTX 5080 laptop candidate, ~A$4,999; useful comparison against Zephyrus and Legion.",ChatGPT-Export:69f199b8-63a0-839c-9743-426bcea1420e
UNKNOWN,rtx4090,24,5799,https://supertechcomputers.com.au/product/rtx4090-gaming-pc/,ChatGPT-Export,1,0,1,1.0,P3,"- **Source_Mentions**: Manual Spreadsheet / Product Ledger
- **URLs**: https://supertechcomputers.com.au/product/rtx4090-gaming-pc/
- **Consolidated_Notes**: Supertech RTX 4090 Gaming PC https://supertechcomputers.com.au/product/rtx4090-gaming-pc/ i7-14700K; R",ChatGPT-Export:69f199b8-63a0-839c-9743-426bcea1420e
msi vector 17,rtx 3090,24,UNKNOWN,https://www.ebay.com.au/shop/3090-24gb?_nkw=3090+24gb&srsltid=AfmBOoqKxsxuL1bMRylDE9N7McsPdq-Q5K1S9GOezApqcvycyXk_5gr_&utm_source=chatgpt.com,ChatGPT-Export,1,0,1,1.0,P3,"([ebay.com.au](https://www.ebay.com.au/shop/3090-24gb?_nkw=3090+24gb&srsltid=AfmBOoqKxsxuL1bMRylDE9N7McsPdq-Q5K1S9GOezApqcvycyXk_5gr_&utm_source=chatgpt.com))
- Gumtree AU shows local RTX 3090 examples including a Hampton Park VIC listing at **$1,500**, but pr",ChatGPT-Export:69f3c88f-77b8-839f-a680-2ea7eafaad84
UNKNOWN,rtx 3080 ti,32,3028.87,UNKNOWN,ChatGPT-Export,1,0,1,1.0,P3,"\ue200cite\ue202turn10view1\ue202turn12view0\ue201 | 7.9 | 0.42 |\n| \ue200entity\ue202[\""product\"",\""ASUS ROG Zephyrus Duo 16\"",\""2023 gaming laptop\""]\ue201 (Ryzen 9 / 32GB / 1TB / RTX 4080 alt) | \ue200url\ue202eBay \u2022 eversmen\ue202turn33view0\ue201 | ",ChatGPT-Export:69fd7916-a7b0-83ec-bc7a-ab890c2f21e1
asus rog strix scar 17,rtx 3080 ti,16,4899,UNKNOWN,ChatGPT-Export,1,0,1,1.0,P3,"ASUS ROG Strix Scar 17 X3D RTX 4090 16GB — claimed around AUD $4,899 but possibly out of stock
5.",ChatGPT-Export:69fd7916-a7b0-83ec-bc7a-ab890c2f21e1
msi raider ge78,rtx 3080 ti,16,3500,UNKNOWN,ChatGPT-Export,1,0,1,1.0,P3,"MSI Raider GE78 HX RTX 4090 16GB — claimed around AUD $3,500 used
6.",ChatGPT-Export:69fd7916-a7b0-83ec-bc7a-ab890c2f21e1
lenovo legion 9i,rtx 3080 ti,UNKNOWN,7999,UNKNOWN,ChatGPT-Export,1,0,1,1.0,P3,"Do not spend time deeply verifying obvious rejects unless needed for benchmark context:
- MSI Titan 18 HX around AUD $7,999
- Razer Blade 16 around AUD $7,899
- Lenovo Legion 9i RTX 5090 around AUD $9,999
- Infinity N7 Core around AUD $6,599
- ASUS Scar 18 RTX",ChatGPT-Export:69fd7916-a7b0-83ec-bc7a-ab890c2f21e1
lenovo legion 9i,rtx 3080 ti,24,UNKNOWN,UNKNOWN,ChatGPT-Export,1,0,1,1.0,P3,"Lenovo Legion 9i (RTX 5090) – Scorptec $9,999
: Top VRAM (24 GB) but price (~AU$10k) is far above target.",ChatGPT-Export:69fd7916-a7b0-83ec-bc7a-ab890c2f21e1
lenovo legion pro 7i,rtx 3080 ti,UNKNOWN,3855,UNKNOWN,ChatGPT-Export,1,0,1,1.0,P3,"Lenovo Legion Pro 7i (RTX 4090) from UK @AU$3,855",ChatGPT-Export:69fd7916-a7b0-83ec-bc7a-ab890c2f21e1
hp omen max,rtx 3080 ti,UNKNOWN,UNKNOWN,UNKNOWN,ChatGPT-Export,1,0,1,1.0,P3,"citeturn800348search2turn399386search0turn399386search1 |
| “HP Omen Max 16 open-box RTX 5080 is around A$3.2k landed” | Plausible only as a **historical / limited open-box freight-forwarding opportunity**.",ChatGPT-Export:69fd7916-a7b0-83ec-bc7a-ab890c2f21e1
msi vector 16,rtx 3080 ti,16,4299,UNKNOWN,ChatGPT-Export,1,0,1,1.0,P3,"| Rank | Candidate | Price / landed estimate | GPU / VRAM | RAM / SSD / screen | Condition / risk | Fit |
|---:|---|---:|---|---|---|---|
| **1** | **MSI Vector 16 HX AI A2XWIG-213AU — Mwave AU** | **A$4,299** | RTX 5080 Laptop, **16GB GDDR7** | Core Ultra 9 2",ChatGPT-Export:69fd7916-a7b0-83ec-bc7a-ab890c2f21e1
msi raider ge68,rtx 3080 ti,16,4299,UNKNOWN,ChatGPT-Export,1,0,1,1.0,P3,"citeturn573616search1turn573616search2turn999715calculator0 |
| **3** | **MSI Raider GE68 RTX 4090 — AU eBay** | Observed **A$4,299–A$4,999 + shipping**; verify live | RTX 4090 Laptop, **16GB** | i9-14900HX, **32GB**, **2TB**, 16"" 3840×2400 120Hz | AU sel",ChatGPT-Export:69fd7916-a7b0-83ec-bc7a-ab890c2f21e1
hp omen max,rtx 3080 ti,16,3162,UNKNOWN,ChatGPT-Export,1,0,1,1.0,P3,"citeturn614204search1 |
| **5** | **HP Omen Max 16 RTX 5080 — Best Buy US open-box** | Historical open-box estimate: **~A$3,162 before freight-forwarding** | RTX 5080 Laptop, **16GB** | Core Ultra 9 275HX, **32GB**, **2TB**, 16"" OLED 240Hz | Freight-forward",ChatGPT-Export:69fd7916-a7b0-83ec-bc7a-ab890c2f21e1
msi titan raider,rtx 3080 ti,16,UNKNOWN,UNKNOWN,ChatGPT-Export,1,0,1,1.0,P3,"citeturn573616search4turn453136search1turn999715calculator1 |
| **6** | **MSI Titan / Raider 18 RTX 4090 UK eBay options** | Around **A$3.8k–A$4.4k before/with postage depending listing** | RTX 4090 Laptop, **16GB** | Often 32GB/2TB, QHD+ or 4K panels | I",ChatGPT-Export:69fd7916-a7b0-83ec-bc7a-ab890c2f21e1
msi stealth gs77,rtx 3080 ti,16,UNKNOWN,UNKNOWN,ChatGPT-Export,1,0,1,1.0,P3,"citeturn235105search2turn235105search4 |
| **7** | **MSI Stealth GS77 RTX 3080 Ti** | Only attractive if **~A$2.2k–A$2.5k landed** | RTX 3080 Ti Laptop, usually **16GB** | i9-12900H, 32GB, 1TB, 17.3"" 4K 120Hz | Older, thinner chassis, lower GPU power than ",ChatGPT-Export:69fd7916-a7b0-83ec-bc7a-ab890c2f21e1
asus rog strix scar 18,rtx 3080 ti,24,UNKNOWN,UNKNOWN,ChatGPT-Export,1,0,1,1.0,P3,"citeturn512290search0turn512290search1 |
| **8** | **ASUS ROG Strix Scar 18 RTX 5090 24GB** | **A$8k–A$10k+** verified examples | RTX 5090 Laptop, **24GB** | Ultra 9 275HX, 32GB, 2TB, 18"" 240Hz Mini LED | Technically ideal VRAM tier, financially wrong | Co",ChatGPT-Export:69fd7916-a7b0-83ec-bc7a-ab890c2f21e1
UNKNOWN,rtx 3080 ti,UNKNOWN,4999,UNKNOWN,ChatGPT-Export,1,0,1,1.0,P3,"The GE68 is attractive because it is AU-based and has RTX 4090-class performance, but the evidence is messy: one indexed listing shows A$4,999, while another eBay result card shows A$4,299.",ChatGPT-Export:69fd7916-a7b0-83ec-bc7a-ab890c2f21e1
razer blade 15,rtx 3080 ti,UNKNOWN,UNKNOWN,UNKNOWN,ChatGPT-Export,1,0,1,1.0,P3,"| Prior-report class | New status |
|---|---|
| Razer Blade 15 RTX 3080 Ti | Only compelling under ~A$2.4k–A$2.7k landed and with battery proof.",ChatGPT-Export:69fd7916-a7b0-83ec-bc7a-ab890c2f21e1
UNKNOWN,rtx 5090,16,4500,UNKNOWN,ChatGPT-Export,1,0,1,1.0,P3,"Buyer context:
- Location: Melbourne, VIC, Australia
- Use case: AI-assisted coding, design, gaming, productivity, local LLM/image-generation experimentation
- Main target: NVIDIA RTX laptops with 16GB+ VRAM
- 12GB VRAM laptops are allowed only as value except",ChatGPT-Export:6a002701-3fb8-83ec-b3ef-af4e51f8c75f
razer blade 18,rtx 4090,16,4789,UNKNOWN,ChatGPT-Export,1,0,1,1.0,P3,"Razer Blade 18 RTX 4090 16GB — claimed around AUD $4,789
2.",ChatGPT-Export:6a002701-3fb8-83ec-b3ef-af4e51f8c75f
hp omen 17,rtx 4090,16,3500,UNKNOWN,ChatGPT-Export,1,0,1,1.0,P3,"HP Omen 17 RTX 4090 16GB — claimed around AUD $3,500 used/open-box
4.",ChatGPT-Export:6a002701-3fb8-83ec-b3ef-af4e51f8c75f
asus rog strix scar 17,rtx 4090,16,4899,UNKNOWN,ChatGPT-Export,1,0,1,1.0,P3,"ASUS ROG Strix Scar 17 X3D RTX 4090 16GB — claimed around AUD $4,899 but possibly out of stock
5.",ChatGPT-Export:6a002701-3fb8-83ec-b3ef-af4e51f8c75f
msi raider ge78,rtx 4090,16,3500,UNKNOWN,ChatGPT-Export,1,0,1,1.0,P3,"MSI Raider GE78 HX RTX 4090 16GB — claimed around AUD $3,500 used
6.",ChatGPT-Export:6a002701-3fb8-83ec-b3ef-af4e51f8c75f
lenovo legion 9i,rtx 4090,16,4500,UNKNOWN,ChatGPT-Export,1,0,1,1.0,P3,"Any directly equivalent RTX 4090 / RTX 5080 16GB laptop under AUD $4,500 that appears during verification
Do not spend time deeply verifying obvious rejects unless needed for benchmark context:
- MSI Titan 18 HX around AUD $7,999
- Razer Blade 16 around AUD $7",ChatGPT-Export:6a002701-3fb8-83ec-b3ef-af4e51f8c75f
UNKNOWN,rtx 3090,12,UNKNOWN,https://docs.google.com/document/d/1nDYw9lWCLNHJuE0kRqaqxYYIR8bRuLR4I1eIQhbVli4/edit,Gemini-Export,0,1,1,0.9,P3,"While 12GB and 16GB tiers limit users to smaller or aggressively quantized models with constrained context windows, the 24GB tier—epitomized by the financially sound used RTX 3090 in the Australian market—allows for running flagship models like Gemma 4 31B and",Gemini-Export:conversation_1777558354.txt
UNKNOWN,rx 7900 xtx,32,UNKNOWN,https://docs.google.com/document/d/1nDYw9lWCLNHJuE0kRqaqxYYIR8bRuLR4I1eIQhbVli4/edit,Gemini-Export,0,1,1,0.9,P3,"| Product Identification |                                                      |
| :--------------------: | :--------------------------------------------------: |
| **System Integrator**  | Titanium PC                                          |
| **Model Desi",Gemini-Export:conversation_1777558354.txt
UNKNOWN,rx 7900 xtx,64,UNKNOWN,https://docs.google.com/document/d/1nDYw9lWCLNHJuE0kRqaqxYYIR8bRuLR4I1eIQhbVli4/edit,Gemini-Export,0,1,1,0.9,P3,"| Product Identification |                                                                  |
| :--------------------: | :--------------------------------------------------------------: |
| **System Integrator**  | Mwave                                        ",Gemini-Export:conversation_1777558354.txt
msi raider 18hx,rtx 5090,128,UNKNOWN,https://docs.google.com/document/d/1nDYw9lWCLNHJuE0kRqaqxYYIR8bRuLR4I1eIQhbVli4/edit,Gemini-Export,0,1,1,0.9,P3,"- **MSI Raider 18HX AI:** Represents the extreme upper bound of mobile computing, scaling from $9,999 AUD to an astonishing $14,999 AUD, equipped with up to 128GB of RAM and the RTX 5090 24GB.",Gemini-Export:conversation_1777558354.txt
UNKNOWN,rtx 5090,128,UNKNOWN,https://docs.google.com/document/d/1nDYw9lWCLNHJuE0kRqaqxYYIR8bRuLR4I1eIQhbVli4/edit,Gemini-Export,0,1,1,0.9,P3,"| Product Identification |                                                    |
| :--------------------: | :------------------------------------------------: |
| **System Integrator**  | MSI (via JW Computers)                             |
| **Model Designatio",Gemini-Export:conversation_1777558354.txt
UNKNOWN,rtx 5070 ti,12,UNKNOWN,https://docs.google.com/document/d/1nDYw9lWCLNHJuE0kRqaqxYYIR8bRuLR4I1eIQhbVli4/edit,Gemini-Export,0,1,1,0.9,P3,| Product\_or\_Build                                              | Category                             | Status                | Price\_AUD | GPU\_VRAM\_or\_Unified | RAM\_GB | Notes                                                                            ,Gemini-Export:conversation_1777558354.txt
lenovo legion 7i,rtx 5070,8,UNKNOWN,https://drive.google.com/open?id=1tDJhrdiVtwjYKEWe62PllC1XSNscBBpr,Gemini-Export,0,1,1,0.9,P3,"| \[URL\] |
| 2026-04-26  | 1        | Laptop     | Lenovo Legion 7i 16IAX10           | 3299       | 8        | 32      | RTX 5070        | Core Ultra 9 275     | New         | Scorptec        | UNKNOWN        | Basic            | Entry           | 8GB VRAM l",Gemini-Export:conversation_1777955851.txt
msi raider ge78,rtx 5090,UNKNOWN,UNKNOWN,https://drive.google.com/open?id=1tDJhrdiVtwjYKEWe62PllC1XSNscBBpr,Gemini-Export,0,1,1,0.9,P3,"| \[URL\] |
| 2026-04-26  | 1        | Laptop     | MSI Raider GE78 HX 14V             | 5299       | 16       | 64      | RTX 5090        | Core i9 14900HX      | New         | Scorptec        | UNKNOWN        | FLUX             | High            | Desktop re",Gemini-Export:conversation_1777955851.txt
UNKNOWN,rtx 4060,UNKNOWN,UNKNOWN,https://drive.google.com/open?id=1tDJhrdiVtwjYKEWe62PllC1XSNscBBpr,Gemini-Export,0,1,1,0.9,P3,"| \[URL\] |
| 2026-04-28  | 3        | Desktop    | Budget RTX 4060 Build              | 1299       | 8        | 16      | RTX 4060        | Ryzen 5 5600         | New         | Centre Com      | Slotted        | Basic            | Entry           | Entry-leve",Gemini-Export:conversation_1777955851.txt
UNKNOWN,rtx 4070,UNKNOWN,UNKNOWN,https://drive.google.com/open?id=1tDJhrdiVtwjYKEWe62PllC1XSNscBBpr,Gemini-Export,0,1,1,0.9,P3,"| \[URL\] |
| 2026-04-28  | 3        | Desktop    | Mid-Range RTX 4070 Super           | 2199       | 12       | 32      | RTX 4070 Super  | Ryzen 7 7800X3D      | New         | Centre Com      | Slotted        | Strong           | Mid             | Best value",Gemini-Export:conversation_1777955851.txt
UNKNOWN,rtx 4050,UNKNOWN,UNKNOWN,https://drive.google.com/open?id=1tDJhrdiVtwjYKEWe62PllC1XSNscBBpr,Gemini-Export,0,1,1,0.9,P3,"| \[URL\] |
| 2026-04-29  | 1        | Laptop     | HP Victus 15                       | 1149       | 6        | 16      | RTX 4050        | Core i5 13420H       | New         | JB Hi-Fi        | UNKNOWN        | Basic            | Entry           | Budget lap",Gemini-Export:conversation_1777955851.txt
razer blade 14,rtx 4070,UNKNOWN,UNKNOWN,https://drive.google.com/open?id=1tDJhrdiVtwjYKEWe62PllC1XSNscBBpr,Gemini-Export,0,1,1,0.9,P3,"| \[URL\] |
| 2026-04-29  | 1        | Laptop     | Razer Blade 14                     | 3899       | 8        | 16      | RTX 4070        | Ryzen 9 8945HS       | New         | JB Hi-Fi        | UNKNOWN        | Strong           | Entry           | Portable p",Gemini-Export:conversation_1777955851.txt
msi vector a18,rtx 5070 ti,16,UNKNOWN,https://drive.google.com/open?id=1tDJhrdiVtwjYKEWe62PllC1XSNscBBpr,Gemini-Export,0,1,1,0.9,P3,"| \[URL\] |
| 2026-04-26  | 1        | Laptop     | MSI Vector A18 HX A9WHG            | 3150       | 12       | 32      | RTX 5070 Ti     | Ryzen 9 9955HX       | Ex-display  | TECS            | Likely good    | Strong           | Moderate-Strong | Good scree",Gemini-Export:conversation_1777955851.txt
asus rog strix g16,rtx 5070,8,UNKNOWN,https://drive.google.com/open?id=1tDJhrdiVtwjYKEWe62PllC1XSNscBBpr,Gemini-Export,0,1,1,0.9,P3,"| \[URL\] |
| 2026-04-26  | 1        | Laptop     | ASUS ROG Strix G16                 | 3399       | 8        | 32      | RTX 5070        | Core i7-14650HX      | New         | Scorptec        | UNKNOWN        | Basic            | Entry           | Premium la",Gemini-Export:conversation_1777955851.txt
